Entry,Make,Model,a,b,c,R2 (median),R2 (all)
1,Toyota,Camry,24778.00123816522,0.16734511896055063,3505.3858555379397,0.9755600425127608,0.8297059638962258
2,Ford,F150,41252.13873559842,0.12753085801875796,3840.296042628615,0.9176335363569373,0.6407105180217025
3,Honda,Civic,23752.46114938928,0.1385230772133378,1994.2329159083415,0.9881202048112024,0.8477994879743138
4,Toyota,Corolla,17899.257313523518,0.12237085785636893,2546.9411015078963,0.9538779355104011,0.8357950278467815
5,Chevrolet,Silverado 1500,34928.572791795305,0.10000000000000002,3418.952263892362,0.8973759709911096,0.6718370174683976
6,Toyota,RAV4,31410.62094437801,0.14748628392222934,2830.6898613066314,0.941815164792641,0.8523359033445244
7,Toyota,Tacoma,31280.780914938936,0.10000000000000002,5927.1085066229525,0.9351239342700731,0.7653106876113004
8,Honda,Accord,27314.35517042681,0.1408199788437045,2286.4780479580995,0.9874910911319431,0.8871864951344638
9,Toyota,Highlander,45184.359004367936,0.1779427223667999,4338.054175810274,0.9925888247252566,0.9086550280612831
10,Jeep,Wrangler,37932.02505546901,0.1475474574055327,9755.154925307821,0.8642405146092884,0.5879830497340568
11,Honda,CR-V,28637.278323411683,0.12784598363330502,2324.7584588343466,0.9656533282822143,0.9113365681579839
12,Ford,Mustang,24347.20104437291,0.2104891256347944,11043.679479799597,0.6613194797037295,0.2164401157961977
13,Jeep,Grand Cherokee,39042.0605493464,0.10622318966197197,8.199832186694115e-11,0.8727400521275388,0.4117188632640979
14,Toyota,Prius,29025.73923031506,0.13958554425521474,1587.3225835699445,0.9815442077138516,0.8965780842468769
15,BMW,X3,43249.73406154148,0.19906779097580457,3140.0383892972104,0.9471369981239198,0.9055776046706225
16,Toyota,Tundra,42403.822911927964,0.1235072095484333,6031.079186210871,0.962965944890424,0.8546485318388298
17,BMW,330i,41473.03378602231,0.26594478499318425,5655.942717076516,0.9765781553461623,0.7968382214443936
18,Toyota,4Runner,45085.92215077995,0.10000000000000003,524.2579949706774,0.9645467238170911,0.8983858035005512
19,Ford,F250,48505.30063388584,0.14116467557945686,10486.490269161335,0.9281120710831703,0.7459689818159745
20,RAM,1500,29777.350975913105,0.19007400564804616,10912.885636787349,0.8390254689858415,0.441163189516356
21,Volkswagen,Jetta,22599.658744522814,0.16901440056891226,2040.1352998113018,0.9673483120038452,0.8239532852565019
22,Ford,Explorer,41044.61898791528,0.20782790852554545,4303.420432623722,0.918587375918876,0.622621210530604
23,BMW,328i,45154.46119129546,0.28802610273848633,6595.718971283633,0.90458879455504,0.8842796854478618
24,Porsche,911,109768.54468913151,0.16295485182172256,48572.86578681379,0.4926270553772484,0.3020924508206655
25,Dodge,Challenger,23127.854733224285,0.10000000000005141,8599.40620507912,0.557557847172152,0.1017711702893872
26,Toyota,Sienna,36914.089556952174,0.11752839810720059,64.9836334654358,0.9595026405957491,0.8561797033269104
27,Chevrolet,Tahoe,49838.64229490974,0.11628998636176263,9.121742341501593e-10,0.9241429046676545,0.9074774401103525
28,Honda,Fit,17933.793571435355,0.12073310702999719,2340.674714421432,0.9647013507048711,0.9368597723097574
29,Ford,Fusion,37475.40746132703,0.2986652710843754,4797.579716686349,0.976927207507,0.6693038828835938
30,BMW,X5,67468.19522950382,0.20798234399102933,3115.8937375818396,0.9775450653507176,0.9475137716451375
31,Chevrolet,Corvette,60333.15956537827,0.10000000000000002,5646.616845221091,0.9560219725357308,0.6928200804161062
32,Chevrolet,Camaro,33526.09408625595,0.1708253829659085,6346.90709852254,0.9185503445189357,0.4949965278354752
33,Honda,Pilot,40071.22181894128,0.14671417366343215,1985.360082593606,0.9832546093104191,0.9078720739769417
34,Lexus,RX 350,68400.67566290026,0.2693856260752395,8276.631897590394,0.9820136013357003,0.9409713757413398
35,Mercedes-Benz,C 300,38095.49610620549,0.16553032360778397,3041.59429846138,0.9846376040397822,0.8992577570774141
36,Honda,Odyssey,40292.23412960106,0.13407177062807826,2.7788191466295888e-14,0.9899810999572076,0.9292312226168027
37,Volkswagen,Tiguan,22771.95011126569,0.2330067557683541,5583.152015347466,0.9825615350400206,0.8975539206385248
38,Ford,Escape,26963.65148140811,0.14208646266676603,1515.5735447808297,0.9067616549919184,0.6773453007079338
39,MINI,Cooper,25118.862758500825,0.1691563089699481,3323.913139591297,0.8998216945301207,0.8803337912765181
40,Ford,Edge,31265.980666056363,0.13212853915712391,2.922782753710519e-09,0.9390854816725253,0.5496496063911394
41,GMC,Sierra 1500,47777.554162173416,0.11142695539012376,1126.6063542604932,0.9674801802475735,0.7773711711104765
42,Nissan,Altima,19037.249703212252,0.22413311405011843,4343.40005485355,0.9443810724323126,0.8193597616478187
43,Volkswagen,Golf,28936.414291723893,0.1914993667439459,2422.9354696035607,0.9433280149576987,0.7873923489154016
44,Chevrolet,Suburban,57217.218729971464,0.15935842819093127,2846.2047289059615,0.9424598207047232,0.744119445715079
45,Subaru,Outback,34652.93651691123,0.1651866304504945,2791.869404994966,0.9811036113012559,0.8860947869234489
46,Mercedes-Benz,E 350,51140.498392715126,0.17571040150546943,2421.1282768075066,0.9823298323974113,0.8905530663335235
47,BMW,X1,42915.102056430944,0.19440561376672533,7.463956337116194e-12,0.9912376201739168,0.9201199621701701
48,Ford,Ranger,35745.176299364786,0.17226427678312928,5916.69879431031,0.9465640158682488,0.8509087407864918
49,Audi,A4,39914.37277776108,0.214921919525084,3612.311899133053,0.9736821938115074,0.9103323057724041
50,Acura,MDX,55139.46321032573,0.19069793291712653,2871.0538450236545,0.9484780338090735,0.8983406385018842
51,GMC,Yukon,50959.535745129266,0.11341272295189975,4.767488271292155e-15,0.9564114931298114,0.8825517699917287
52,Volkswagen,GTI,33793.11494480957,0.19753623793034136,4308.288889720953,0.9856035692569578,0.890280766918113
53,Chevrolet,Silverado 2500,56655.90936852891,0.11918154779550037,6220.225823463838,0.9239709764848981,0.7654292447534693
54,Audi,Q5,40787.037674549,0.22611813986232007,7170.583172809757,0.9657593113815766,0.8776899507474409
55,GMC,Acadia,34119.54004956079,0.10241330710162287,1.6700560427846192e-10,0.8811756896073888,0.6697966074018056
56,Dodge,Durango,41347.974847814694,0.12890386048289001,1.4040149783888861e-15,0.914023005270069,0.6454463529748464
57,Ford,F350,48354.175646187425,0.1300281612745569,10874.807547418975,0.9334448611458273,0.7477458247487847
58,Ford,Focus,29938.16995487157,0.2338021250202269,2689.5560486439695,0.7553781270760433,0.5011396104907744
59,Land Rover,Range Rover Sport,95045.8754630762,0.19336059650963214,2.2481865002456358e-11,0.9827444610030293,0.9226075920854828
60,Volkswagen,Passat,26750.3393886489,0.2065472859419445,2934.3505065714057,0.9579446855791337,0.7813901897154066
62,Cadillac,Escalade,73133.93643173904,0.13669043983973087,6.098101133078645e-14,0.9451902714479482,0.93538896595146
63,MAZDA,MAZDA3,26355.778463024493,0.21299905351816706,3616.3830455854268,0.9686863982145302,0.6544919520566618
64,Nissan,Rogue,23080.386822523134,0.11535758686954967,6.553409804884052e-13,0.9401021007525313,0.747321243608059
65,Audi,A3,33819.93335291195,0.18146020105122193,3100.758771661746,0.9874842640024413,0.90270935295288
66,Dodge,Charger,36038.798008117585,0.14179682643857966,3.674473786770792e-05,0.8148183811341885,0.6320127688555792
67,Chevrolet,Equinox,19716.403559681996,0.10000000000000002,1290.0934552006224,0.9275702773180136,0.556749957133831
68,Dodge,Ram 1500 Truck,50969.2137081062,0.11485932737381678,1.5341664991780745e-10,0.9279857248776074,0.5262116169628602
69,Subaru,Forester,30427.03123661781,0.13633531263363177,1699.0484464572044,0.974808169543935,0.8931050763265744
70,Nissan,Sentra,14013.0211798067,0.11963193227531117,1835.8719964733596,0.8778216515072087,0.7305786831536768
72,Toyota,Sequoia,64723.54612400508,0.12854916758335258,4.054136231385004e-09,0.9559493472504721,0.8637704189247798
73,BMW,M3,60383.01681223747,0.17073973750927818,14738.07352138787,0.8649402104092773,0.8305275987150715
74,Hyundai,Elantra,16783.019132167967,0.10000000000013173,7.283447263400339e-08,0.9575322598724766,0.7871645640573244
75,Dodge,Ram 2500 Truck,180529.7758749633,0.268057413309025,19405.832222807578,0.3533387997809244,0.12009210747532562
76,Acura,RDX,38569.927892929285,0.17247345334442937,2905.1416593892436,0.9920981803859745,0.955878793732487
77,Honda,HR-V,23616.462239788867,0.10000000000000002,2098.772304074948,0.8351883029411981,0.43771556796840405
78,Mitsubishi,Outlander,30165.735022595713,0.16436494554337358,1.0250289999387194e-10,0.6306979705202473,-0.11250595175732214
79,Chevrolet,Impala,23059.285656185042,0.1308883408424626,1.4400691928764998e-14,0.9219717107768176,0.5137336976773317
80,Lexus,IS 250,43264.224603221955,0.13011294481883562,7.336584286594082e-10,0.9396922800269684,0.8936020520059864
81,Lexus,ES 350,43575.6757181303,0.19680134257675114,5161.559116434294,0.9596193037389134,0.9029957721639009
82,Jeep,Cherokee,16737.34968441255,0.10000000000000178,4982.295980913176,0.8366158309013693,0.43700358867090805
83,Hyundai,Sonata,21485.552848038333,0.1504618972646963,2125.0226122197737,0.9436940906686745,0.7670733494964488
84,Audi,Q7,57546.18409947469,0.14477041823096562,5.4319171388520285e-09,0.9894083616498556,0.9291214298851934
85,MINI,Cooper Countryman,38407.9564112307,0.1569294227966978,2.148813197767249e-09,0.8577488751915167,0.8437613385824397
86,Mercedes-Benz,S 550,91398.9292998699,0.18061791162798657,3925.7912863639717,0.9653031309829462,0.8948452291670113
87,GMC,Yukon XL,49587.98438405665,0.1255958915742594,1.7840902518630435e-15,0.9847801244094132,0.9366499032276568
88,Porsche,Boxster,55887.92260241932,0.1000000000000018,5968.841536342035,0.8317875208743725,0.7962799058534233
89,Dodge,Grand Caravan,19699.011951551387,0.10000000000000002,345.71495169355455,0.7394907695942958,0.46887114568761346
90,BMW,M340i,41720.49993558305,0.55,16695.00006466383,-inf,-0.10477951639918204
91,Mercedes-Benz,GLC 300,17113.09355457717,0.73773840679168,26150.229536487546,0.9506265874949513,0.5904912332675087
92,Nissan,Maxima,30486.624490645267,0.17896436862063708,2303.2903919527944,0.9520341353424099,0.6993724946106987
93,Acura,TL,34404.69940091515,0.1576871986815268,2996.780877230158,0.9367648168817433,0.6995402973073366
94,INFINITI,Q50,20515.39345567723,0.17605275100848566,11549.46243550209,0.8945934863145307,0.4320489767704243
95,Cadillac,CTS,47162.38293031656,0.10000000000829885,7.78642687292976e-09,0.5609382895699976,0.06630873171222873
96,Mitsubishi,Outlander Sport,20748.188515563088,0.1056702398833912,5.272264988285803e-09,0.9544440718209016,0.6078865319308739
97,INFINITI,G37,38851.22267357811,0.1131335743389614,3.336452263991499e-09,0.7911113587154068,0.39768035749408925
98,Toyota,Prius Prime,10000.000000000002,0.31511213780585257,20203.262656935956,0.9994483139625274,0.22831914795974906
99,Porsche,Panamera,199999.99999999997,0.4414301761109987,27300.391430339143,0.9018664448674867,0.8162632298085285
100,Chevrolet,Malibu,20028.015892643896,0.11776019977611193,1114.2342111908172,0.9117401845458446,0.6941491197712736
